class,accuracy,precision,recall,f1,support,model
42,98.92857143,0.996402878,0.989285714,0.992831541,280,balanced_wt_ResNet_152.csv
0,66.66666667,1,0.666666667,0.8,36,imbalanced_cnn.csv
1,90.08810573,0.969194313,0.900881057,0.933789954,454,imbalanced_cnn.csv
2,99.3166287,0.99543379,0.993166287,0.994298746,439,imbalanced_cnn.csv
3,98.86792453,0.9390681,0.988679245,0.963235294,265,imbalanced_cnn.csv
4,99.76247031,0.988235294,0.997624703,0.992907801,421,imbalanced_cnn.csv
5,99.53703704,0.977272727,0.99537037,0.986238532,432,imbalanced_cnn.csv
6,100,1,1,1,162,imbalanced_cnn.csv
7,99.14529915,0.913385827,0.991452991,0.950819672,117,imbalanced_cnn.csv
8,100,0.964285714,1,0.981818182,81,imbalanced_cnn.csv
9,100,1,1,1,227,imbalanced_cnn.csv
10,97.96747967,0.956349206,0.979674797,0.967871486,246,imbalanced_cnn.csv
11,92.85714286,0.951219512,0.928571429,0.939759036,42,imbalanced_cnn.csv
12,86.56387665,0.97037037,0.865638767,0.915017462,454,imbalanced_cnn.csv
13,98.24561404,0.918032787,0.98245614,0.949152542,57,imbalanced_cnn.csv
14,82.35294118,1,0.823529412,0.903225806,68,imbalanced_cnn.csv
15,100,0.964705882,1,0.982035928,82,imbalanced_cnn.csv
16,91.4893617,0.988505747,0.914893617,0.950276243,94,imbalanced_cnn.csv
17,84.90566038,0.9375,0.849056604,0.891089109,53,imbalanced_cnn.csv
18,99.67213115,1,0.996721311,0.998357964,305,imbalanced_cnn.csv
19,92.90780142,0.963235294,0.929078014,0.945848375,141,imbalanced_cnn.csv
20,87.23404255,0.953488372,0.872340426,0.911111111,47,imbalanced_cnn.csv
21,89,0.988888889,0.89,0.936842105,100,imbalanced_cnn.csv
22,94.11764706,0.923076923,0.941176471,0.932038835,51,imbalanced_cnn.csv
23,94.82758621,0.941780822,0.948275862,0.945017182,290,imbalanced_cnn.csv
24,94.93670886,0.949367089,0.949367089,0.949367089,79,imbalanced_cnn.csv
25,97.33333333,0.935897436,0.973333333,0.954248366,150,imbalanced_cnn.csv
26,100,0.8,1,0.888888889,40,imbalanced_cnn.csv
27,99.27007299,0.971428571,0.99270073,0.981949458,137,imbalanced_cnn.csv
28,100,0.988095238,1,0.994011976,83,imbalanced_cnn.csv
29,96.3963964,1,0.963963964,0.981651376,222,imbalanced_cnn.csv
30,100,0.984126984,1,0.992,62,imbalanced_cnn.csv
31,97.87234043,1,0.978723404,0.989247312,47,imbalanced_cnn.csv
32,99.74937343,0.987593052,0.997493734,0.992518703,399,imbalanced_cnn.csv
33,100,1,1,1,68,imbalanced_cnn.csv
34,97.72151899,0.930120482,0.97721519,0.95308642,395,imbalanced_cnn.csv
35,94.93670886,1,0.949367089,0.974025974,79,imbalanced_cnn.csv
36,100,1,1,1,49,imbalanced_cnn.csv
37,100,1,1,1,44,imbalanced_cnn.csv
38,96.50537634,0.840749415,0.965053763,0.898623279,372,imbalanced_cnn.csv
39,98.86363636,1,0.988636364,0.994285714,88,imbalanced_cnn.csv
40,94.72049689,0.956112853,0.947204969,0.951638066,322,imbalanced_cnn.csv
41,94.81481481,0.937728938,0.948148148,0.942909761,270,imbalanced_cnn.csv
42,98.92857143,0.996402878,0.989285714,0.992831541,280,imbalanced_cnn.csv
0,88.88888889,1,0.888888889,0.941176471,36,balanced_WT_cnn.csv
1,72.46696035,0.990963855,0.724669604,0.837150127,454,balanced_WT_cnn.csv
2,97.03872437,0.995327103,0.970387244,0.982698962,439,balanced_WT_cnn.csv
3,93.20754717,0.98015873,0.932075472,0.955512573,265,balanced_WT_cnn.csv
4,98.57482185,0.974178404,0.985748219,0.979929162,421,balanced_WT_cnn.csv
5,99.07407407,0.988452656,0.990740741,0.989595376,432,balanced_WT_cnn.csv
6,96.91358025,1,0.969135802,0.984326019,162,balanced_WT_cnn.csv
7,99.14529915,0.859259259,0.991452991,0.920634921,117,balanced_WT_cnn.csv
8,97.5308642,0.975308642,0.975308642,0.975308642,81,balanced_WT_cnn.csv
9,100,0.986956522,1,0.993435449,227,balanced_WT_cnn.csv
10,95.12195122,0.979079498,0.951219512,0.964948454,246,balanced_WT_cnn.csv
11,100,0.736842105,1,0.848484848,42,balanced_WT_cnn.csv
12,77.31277533,0.849878935,0.773127753,0.809688581,454,balanced_WT_cnn.csv
13,94.73684211,0.964285714,0.947368421,0.955752212,57,balanced_WT_cnn.csv
14,89.70588235,0.968253968,0.897058824,0.93129771,68,balanced_WT_cnn.csv
15,98.7804878,0.975903614,0.987804878,0.981818182,82,balanced_WT_cnn.csv
16,89.36170213,0.943820225,0.893617021,0.918032787,94,balanced_WT_cnn.csv
17,98.11320755,0.945454545,0.981132075,0.962962963,53,balanced_WT_cnn.csv
18,95.73770492,0.966887417,0.957377049,0.962108731,305,balanced_WT_cnn.csv
19,91.4893617,0.962686567,0.914893617,0.938181818,141,balanced_WT_cnn.csv
20,95.74468085,0.9,0.957446809,0.927835052,47,balanced_WT_cnn.csv
21,97,1,0.97,0.984771574,100,balanced_WT_cnn.csv
22,94.11764706,0.941176471,0.941176471,0.941176471,51,balanced_WT_cnn.csv
23,91.72413793,0.901694915,0.917241379,0.909401709,290,balanced_WT_cnn.csv
24,92.40506329,0.83908046,0.924050633,0.879518072,79,balanced_WT_cnn.csv
25,98,0.901840491,0.98,0.939297125,150,balanced_WT_cnn.csv
26,100,0.888888889,1,0.941176471,40,balanced_WT_cnn.csv
27,100,0.992753623,1,0.996363636,137,balanced_WT_cnn.csv
28,100,0.965116279,1,0.982248521,83,balanced_WT_cnn.csv
29,98.64864865,0.995454545,0.986486486,0.990950226,222,balanced_WT_cnn.csv
30,100,1,1,1,62,balanced_WT_cnn.csv
31,100,1,1,1,47,balanced_WT_cnn.csv
32,97.99498747,0.99744898,0.979949875,0.988621997,399,balanced_WT_cnn.csv
33,100,1,1,1,68,balanced_WT_cnn.csv
34,95.94936709,0.889671362,0.959493671,0.923264312,395,balanced_WT_cnn.csv
35,98.73417722,0.876404494,0.987341772,0.928571429,79,balanced_WT_cnn.csv
36,89.79591837,1,0.897959184,0.946236559,49,balanced_WT_cnn.csv
37,100,0.88,1,0.936170213,44,balanced_WT_cnn.csv
38,92.47311828,0.730360934,0.924731183,0.816132859,372,balanced_WT_cnn.csv
39,100,1,1,1,88,balanced_WT_cnn.csv
40,88.81987578,0.899371069,0.888198758,0.89375,322,balanced_WT_cnn.csv
41,92.59259259,0.871080139,0.925925926,0.897666068,270,balanced_WT_cnn.csv
42,97.5,0.978494624,0.975,0.976744186,280,balanced_WT_cnn.csv
0,91.66666667,1,0.916666667,0.956521739,36,imbalanced_RESNET_152.csv
1,96.91629956,0.928270042,0.969162996,0.948275862,454,imbalanced_RESNET_152.csv
2,96.12756264,0.997635934,0.961275626,0.979118329,439,imbalanced_RESNET_152.csv
3,100,0.835962145,1,0.910652921,265,imbalanced_RESNET_152.csv
4,99.76247031,0.965517241,0.997624703,0.981308411,421,imbalanced_RESNET_152.csv
5,98.14814815,0.990654206,0.981481481,0.986046512,432,imbalanced_RESNET_152.csv
6,99.38271605,0.904494382,0.99382716,0.947058824,162,imbalanced_RESNET_152.csv
7,97.43589744,0.912,0.974358974,0.94214876,117,imbalanced_RESNET_152.csv
8,98.7654321,0.941176471,0.987654321,0.963855422,81,imbalanced_RESNET_152.csv
9,96.91629956,1,0.969162996,0.984340045,227,imbalanced_RESNET_152.csv
10,99.18699187,0.956862745,0.991869919,0.974051896,246,imbalanced_RESNET_152.csv
11,61.9047619,1,0.619047619,0.764705882,42,imbalanced_RESNET_152.csv
12,88.54625551,0.954869359,0.885462555,0.918857143,454,imbalanced_RESNET_152.csv
13,70.1754386,1,0.701754386,0.824742268,57,imbalanced_RESNET_152.csv
14,60.29411765,1,0.602941176,0.752293578,68,imbalanced_RESNET_152.csv
15,90.24390244,1,0.902439024,0.948717949,82,imbalanced_RESNET_152.csv
16,68.08510638,0.955223881,0.680851064,0.795031056,94,imbalanced_RESNET_152.csv
17,94.33962264,0.833333333,0.943396226,0.884955752,53,imbalanced_RESNET_152.csv
18,98.36065574,0.934579439,0.983606557,0.958466454,305,imbalanced_RESNET_152.csv
19,97.16312057,0.944827586,0.971631206,0.958041958,141,imbalanced_RESNET_152.csv
20,97.87234043,0.851851852,0.978723404,0.910891089,47,imbalanced_RESNET_152.csv
21,82,0.911111111,0.82,0.863157895,100,imbalanced_RESNET_152.csv
22,94.11764706,0.585365854,0.941176471,0.721804511,51,imbalanced_RESNET_152.csv
23,93.44827586,0.947552448,0.934482759,0.940972222,290,imbalanced_RESNET_152.csv
24,83.5443038,0.942857143,0.835443038,0.88590604,79,imbalanced_RESNET_152.csv
25,79.33333333,0.959677419,0.793333333,0.868613139,150,imbalanced_RESNET_152.csv
26,100,0.784313725,1,0.879120879,40,imbalanced_RESNET_152.csv
27,99.27007299,0.894736842,0.99270073,0.941176471,137,imbalanced_RESNET_152.csv
28,83.13253012,0.971830986,0.831325301,0.896103896,83,imbalanced_RESNET_152.csv
29,98.64864865,0.916317992,0.986486486,0.95010846,222,imbalanced_RESNET_152.csv
30,93.5483871,0.716049383,0.935483871,0.811188811,62,imbalanced_RESNET_152.csv
31,82.9787234,0.928571429,0.829787234,0.876404494,47,imbalanced_RESNET_152.csv
32,91.72932331,0.905940594,0.917293233,0.911581569,399,imbalanced_RESNET_152.csv
33,77.94117647,0.946428571,0.779411765,0.85483871,68,imbalanced_RESNET_152.csv
34,97.46835443,0.925480769,0.974683544,0.949445129,395,imbalanced_RESNET_152.csv
35,73.41772152,0.878787879,0.734177215,0.8,79,imbalanced_RESNET_152.csv
36,77.55102041,0.974358974,0.775510204,0.863636364,49,imbalanced_RESNET_152.csv
37,65.90909091,0.966666667,0.659090909,0.783783784,44,imbalanced_RESNET_152.csv
38,93.01075269,0.858560794,0.930107527,0.892903226,372,imbalanced_RESNET_152.csv
39,98.86363636,0.887755102,0.988636364,0.935483871,88,imbalanced_RESNET_152.csv
40,83.22981366,0.981684982,0.832298137,0.900840336,322,imbalanced_RESNET_152.csv
41,91.11111111,0.88172043,0.911111111,0.896174863,270,imbalanced_RESNET_152.csv
42,97.14285714,0.985507246,0.971428571,0.978417266,280,imbalanced_RESNET_152.csv
0,97.22222222,1,0.972222222,0.985915493,36,imbalanced_resnet_L50.csv
1,97.57709251,0.965141612,0.975770925,0.970427163,454,imbalanced_resnet_L50.csv
2,97.26651481,0.986143187,0.972665148,0.979357798,439,imbalanced_resnet_L50.csv
3,100,0.793413174,1,0.884808013,265,imbalanced_resnet_L50.csv
4,99.76247031,0.992907801,0.997624703,0.995260664,421,imbalanced_resnet_L50.csv
5,100,0.981818182,1,0.990825688,432,imbalanced_resnet_L50.csv
6,100,0.975903614,1,0.987804878,162,imbalanced_resnet_L50.csv
7,98.29059829,0.942622951,0.982905983,0.962343096,117,imbalanced_resnet_L50.csv
8,97.5308642,1,0.975308642,0.9875,81,imbalanced_resnet_L50.csv
9,100,0.995614035,1,0.997802198,227,imbalanced_resnet_L50.csv
10,99.18699187,0.9348659,0.991869919,0.962524655,246,imbalanced_resnet_L50.csv
11,85.71428571,0.972972973,0.857142857,0.911392405,42,imbalanced_resnet_L50.csv
12,98.01762115,0.965292842,0.980176211,0.972677596,454,imbalanced_resnet_L50.csv
13,94.73684211,0.964285714,0.947368421,0.955752212,57,imbalanced_resnet_L50.csv
14,95.58823529,0.792682927,0.955882353,0.866666667,68,imbalanced_resnet_L50.csv
15,96.34146341,0.975308642,0.963414634,0.969325153,82,imbalanced_resnet_L50.csv
16,61.70212766,1,0.617021277,0.763157895,94,imbalanced_resnet_L50.csv
17,84.90566038,0.882352941,0.849056604,0.865384615,53,imbalanced_resnet_L50.csv
18,93.44262295,0.989583333,0.93442623,0.961214165,305,imbalanced_resnet_L50.csv
19,96.45390071,0.964539007,0.964539007,0.964539007,141,imbalanced_resnet_L50.csv
20,78.72340426,1,0.787234043,0.880952381,47,imbalanced_resnet_L50.csv
21,97,0.941747573,0.97,0.955665025,100,imbalanced_resnet_L50.csv
22,41.17647059,1,0.411764706,0.583333333,51,imbalanced_resnet_L50.csv
23,89.65517241,0.996168582,0.896551724,0.943738657,290,imbalanced_resnet_L50.csv
24,92.40506329,0.737373737,0.924050633,0.820224719,79,imbalanced_resnet_L50.csv
25,98,0.98,0.98,0.98,150,imbalanced_resnet_L50.csv
26,85,0.971428571,0.85,0.906666667,40,imbalanced_resnet_L50.csv
27,98.54014599,1,0.98540146,0.992647059,137,imbalanced_resnet_L50.csv
28,100,0.892473118,1,0.943181818,83,imbalanced_resnet_L50.csv
29,100,0.928870293,1,0.963123644,222,imbalanced_resnet_L50.csv
30,100,0.756097561,1,0.861111111,62,imbalanced_resnet_L50.csv
31,100,0.796610169,1,0.886792453,47,imbalanced_resnet_L50.csv
32,99.2481203,0.96350365,0.992481203,0.977777778,399,imbalanced_resnet_L50.csv
33,100,0.971428571,1,0.985507246,68,imbalanced_resnet_L50.csv
34,97.21518987,0.997402597,0.972151899,0.984615385,395,imbalanced_resnet_L50.csv
35,100,1,1,1,79,imbalanced_resnet_L50.csv
36,97.95918367,1,0.979591837,0.989690722,49,imbalanced_resnet_L50.csv
37,100,0.733333333,1,0.846153846,44,imbalanced_resnet_L50.csv
38,88.44086022,0.987987988,0.884408602,0.933333333,372,imbalanced_resnet_L50.csv
39,70.45454545,1,0.704545455,0.826666667,88,imbalanced_resnet_L50.csv
40,96.27329193,0.971786834,0.962732919,0.96723869,322,imbalanced_resnet_L50.csv
41,95.92592593,0.955719557,0.959259259,0.957486137,270,imbalanced_resnet_L50.csv
42,93.92857143,1,0.939285714,0.968692449,280,imbalanced_resnet_L50.csv
